Country,Region,Year,Qrt,Product,Revenue,Expense,Sales.From.Online.Store
Canada,America,2006,Qrt 4,S701T,9607.8,6133.08,0.3
Canada,America,2006,Qrt 1,U702R,12871.72,7890.23,0.27
Canada,America,2006,Qrt 2,U702R,12181.07,8324.31,0.3
Canada,America,2006,Qrt 3,U702R,15094.68,7561.19,0.4
Canada,America,2006,Qrt 4,U702R,13585.59,7936.81,0.31
Canada,America,2006,Qrt 1,J230V,4837.98,2348.86,0.31
Canada,America,2006,Qrt 2,J230V,5170.69,2398.26,0.29
Canada,America,2006,Qrt 3,J230V,5936.67,2514.88,0.25
Canada,America,2006,Qrt 4,J230V,5155.3,3128.16,0.29
Canada,America,2006,Qrt 1,P532R,2234.32,1144.2,0.4
Canada,America,2006,Qrt 2,P532R,2911.68,1166.99,0.27
Canada,America,2006,Qrt 3,P532R,2743.61,1251.46,0.29
Canada,America,2006,Qrt 4,P532R,2139.79,1342.02,0.3
Britain,Europe,2006,Qrt 1,L501R,28393.59,11043,0.2
Britain,Europe,2006,Qrt 2,L501R,27422.19,9432.33,0.24
Britain,Europe,2006,Qrt 3,L501R,25502.05,11947.71,0.25
Britain,Europe,2006,Qrt 4,L501R,20607.57,11725.99,0.27
Britain,Europe,2006,Qrt 1,J511T,16141.35,7530.87,0.31
Britain,Europe,2006,Qrt 2,J511T,14482.16,5901.65,0.31
Britain,Europe,2006,Qrt 3,J511T,11131.47,7331.63,0.27
Britain,Europe,2006,Qrt 4,J511T,12924.2,6601.21,0.26
Britain,Europe,2006,Qrt 1,F541T,6892.94,4253.59,0.31
Britain,Europe,2006,Qrt 2,F541T,6534.25,3989.19,0.27
Britain,Europe,2006,Qrt 3,F541T,6210.92,5020.34,0.28
Britain,Europe,2006,Qrt 4,F541T,7218.47,5309.81,0.28
Britain,Europe,2006,Qrt 1,505T,2054.92,1623.96,0.26
Britain,Europe,2006,Qrt 2,505T,2007.07,1457.9,0.24
Britain,Europe,2006,Qrt 3,505T,1862.89,1194.4,0.3
Britain,Europe,2006,Qrt 4,505T,2049.91,1263.87,0.29
Britain,Europe,2006,Qrt 1,NBA01R,12029.71,4975.09,0.25
Britain,Europe,2006,Qrt 2,NBA01R,11297.92,3682.57,0.32
Britain,Europe,2006,Qrt 3,NBA01R,12215.16,5449.53,0.31
Britain,Europe,2006,Qrt 4,NBA01R,9711.48,5507.9,0.31
Britain,Europe,2006,Qrt 1,RC03R,7208.21,5078.77,0.3
Britain,Europe,2006,Qrt 2,RC03R,6903.04,5096.86,0.29
Britain,Europe,2006,Qrt 3,RC03R,7437.51,4766.9,0.29
Britain,Europe,2006,Qrt 4,RC03R,7519.52,5396,0.33
Britain,Europe,2006,Qrt 1,NFL03T,1560.2,873.38,0.3
Britain,Europe,2006,Qrt 2,NFL03T,2214.47,1047.2,0.29
Britain,Europe,2006,Qrt 3,NFL03T,1656.88,782.21,0.24
Britain,Europe,2006,Qrt 4,NFL03T,2012.54,1079.95,0.29
Britain,Europe,2006,Qrt 1,W711R,11212.8,4614.05,0.29
Britain,Europe,2006,Qrt 2,W711R,9425.58,5183.62,0.25
Britain,Europe,2006,Qrt 3,W711R,10786.8,5049.03,0.26
Britain,Europe,2006,Qrt 4,W711R,9971.69,5019.49,0.3
Britain,Europe,2006,Qrt 1,W721T,4130.27,3354.5,0.27
Britain,Europe,2006,Qrt 2,W721T,4457.21,2337.11,0.2
Britain,Europe,2006,Qrt 3,W721T,4669.9,2874.01,0.28
Britain,Europe,2006,Qrt 4,W721T,4273.05,3580.95,0.25
Britain,Europe,2006,Qrt 1,S701T,4591.99,1308.67,0.34
Britain,Europe,2006,Qrt 2,S701T,4757.9,1905.71,0.28
Britain,Europe,2006,Qrt 3,S701T,4424.46,1676.18,0.2
Britain,Europe,2006,Qrt 4,S701T,4514.89,1999.72,0.29
Britain,Europe,2006,Qrt 1,U702R,7507.63,3307.9,0.24
Britain,Europe,2006,Qrt 2,U702R,7324.4,2809.34,0.24
Britain,Europe,2006,Qrt 3,U702R,6255.13,3305.11,0.35
Britain,Europe,2006,Qrt 4,U702R,7109.09,3362.62,0.28
Britain,Europe,2006,Qrt 1,J230V,2069.6,748.47,0.32
Britain,Europe,2006,Qrt 2,J230V,2105.48,806.51,0.22
Britain,Europe,2006,Qrt 3,J230V,2669.96,828.12,0.28
Britain,Europe,2006,Qrt 4,J230V,2203.79,866.93,0.29
Britain,Europe,2006,Qrt 1,P532R,1074.73,439.55,0.28
Britain,Europe,2006,Qrt 2,P532R,981.05,486.82,0.29
Britain,Europe,2006,Qrt 3,P532R,1007.69,414.47,0.27
Britain,Europe,2006,Qrt 4,P532R,851.97,552.38,0.32
France,Europe,2006,Qrt 1,L501R,22728.39,8909.49,0.21
France,Europe,2006,Qrt 2,L501R,27107.53,13276.09,0.22
France,Europe,2006,Qrt 3,L501R,22623.05,9510.61,0.3
France,Europe,2006,Qrt 4,L501R,17456.74,11333.29,0.28
France,Europe,2006,Qrt 1,J511T,11990.38,5951.63,0.37
France,Europe,2006,Qrt 2,J511T,10408.26,5541.52,0.31
France,Europe,2006,Qrt 3,J511T,10564.77,7185.23,0.3
France,Europe,2006,Qrt 4,J511T,10074.03,4740.09,0.32
France,Europe,2006,Qrt 1,F541T,7077.34,3924.41,0.3
France,Europe,2006,Qrt 2,F541T,6140.9,4166.93,0.27
France,Europe,2006,Qrt 3,F541T,5858.93,4316.09,0.31
France,Europe,2006,Qrt 4,F541T,6217.53,2831.14,0.27
France,Europe,2006,Qrt 1,505T,2942.83,1031.2,0.25
France,Europe,2006,Qrt 2,505T,2828.53,982.34,0.25
France,Europe,2006,Qrt 3,505T,2547.75,1297.2,0.32
France,Europe,2006,Qrt 4,505T,2394.15,922.62,0.32
France,Europe,2006,Qrt 1,NBA01R,6940.72,5302.79,0.27
France,Europe,2006,Qrt 2,NBA01R,7108.41,4951.43,0.22
France,Europe,2006,Qrt 3,NBA01R,8611.96,4194.57,0.3
France,Europe,2006,Qrt 4,NBA01R,8125.9,3422.85,0.31
France,Europe,2006,Qrt 1,RC03R,9441.7,3830.4,0.29
France,Europe,2006,Qrt 2,RC03R,8849.91,3454.09,0.29
France,Europe,2006,Qrt 3,RC03R,8499.33,4688.49,0.34
France,Europe,2006,Qrt 4,RC03R,9250.79,4086.78,0.25
France,Europe,2006,Qrt 1,NFL03T,2128.14,873.8,0.29
France,Europe,2006,Qrt 2,NFL03T,2593.24,755.15,0.38
France,Europe,2006,Qrt 3,NFL03T,2369.9,936.95,0.26
France,Europe,2006,Qrt 4,NFL03T,2530.34,891.46,0.34
France,Europe,2006,Qrt 1,W711R,10352.58,4994.71,0.32
France,Europe,2006,Qrt 2,W711R,9470.24,5678.49,0.34
France,Europe,2006,Qrt 3,W711R,8877.19,5415.98,0.27
France,Europe,2006,Qrt 4,W711R,10133.49,5971.13,0.24
France,Europe,2006,Qrt 1,W721T,3753.78,2192.4,0.28
France,Europe,2006,Qrt 2,W721T,3336.43,1625.22,0.23
France,Europe,2006,Qrt 3,W721T,3786.53,1443.44,0.32
France,Europe,2006,Qrt 4,W721T,3317.34,1986,0.28
France,Europe,2006,Qrt 1,S701T,4726.88,1632.54,0.32
France,Europe,2006,Qrt 2,S701T,4138.39,1897.25,0.26
France,Europe,2006,Qrt 3,S701T,4952.16,2045.19,0.33
France,Europe,2006,Qrt 4,S701T,4775.02,2335.12,0.27
France,Europe,2006,Qrt 1,U702R,5788.89,3151.81,0.28
France,Europe,2006,Qrt 2,U702R,5947.84,3053.74,0.32
France,Europe,2006,Qrt 3,U702R,7023.34,3309.92,0.26
France,Europe,2006,Qrt 4,U702R,6036.57,3090.23,0.33
France,Europe,2006,Qrt 1,J230V,1584.14,675.12,0.25
France,Europe,2006,Qrt 2,J230V,1588.29,825.16,0.31
France,Europe,2006,Qrt 3,J230V,1140.19,741.31,0.22
France,Europe,2006,Qrt 4,J230V,1342.01,830.68,0.28
France,Europe,2006,Qrt 1,P532R,645.38,389.31,0.3
France,Europe,2006,Qrt 2,P532R,696.04,525.34,0.26
France,Europe,2006,Qrt 3,P532R,663.61,415.97,0.28
France,Europe,2006,Qrt 4,P532R,537.9,450.42,0.21
Germany,Europe,2006,Qrt 1,L501R,12793.5,6893.8,0.3
Germany,Europe,2006,Qrt 2,L501R,10965.51,7957.36,0.27
Germany,Europe,2006,Qrt 3,L501R,14075.69,6413.22,0.27
Germany,Europe,2006,Qrt 4,L501R,13919.96,5715.76,0.35
Germany,Europe,2006,Qrt 1,J511T,7157.28,4021.17,0.27
Germany,Europe,2006,Qrt 2,J511T,7232.07,3764.73,0.27
Germany,Europe,2006,Qrt 3,J511T,8321.73,4047.04,0.27
Germany,Europe,2006,Qrt 4,J511T,7030.4,3200.23,0.26
Germany,Europe,2006,Qrt 1,F541T,3836.91,2466.46,0.35
Germany,Europe,2006,Qrt 2,F541T,4439.74,2562.44,0.24
Germany,Europe,2006,Qrt 3,F541T,3782.16,3357.24,0.33
Germany,Europe,2006,Qrt 4,F541T,3049.02,2457.35,0.33
Germany,Europe,2006,Qrt 1,505T,1119.46,888.22,0.24
Germany,Europe,2006,Qrt 2,505T,1321.07,946.26,0.23
Germany,Europe,2006,Qrt 3,505T,1105.52,908.16,0.34
Germany,Europe,2006,Qrt 4,505T,1270.81,856.99,0.29
Germany,Europe,2006,Qrt 1,NBA01R,4979.27,2098.23,0.27
Germany,Europe,2006,Qrt 2,NBA01R,6298.03,2507.22,0.33
Germany,Europe,2006,Qrt 3,NBA01R,5466.43,2134.34,0.28
Germany,Europe,2006,Qrt 4,NBA01R,5541.07,2339.68,0.32
Germany,Europe,2006,Qrt 1,RC03R,5769.04,2453.42,0.3
Germany,Europe,2006,Qrt 2,RC03R,5771.95,3315.13,0.3
Germany,Europe,2006,Qrt 3,RC03R,5413.34,2930.01,0.22
Germany,Europe,2006,Qrt 4,RC03R,5305.38,2911.2,0.24
Germany,Europe,2006,Qrt 1,NFL03T,1293,587.01,0.24
Germany,Europe,2006,Qrt 2,NFL03T,1228.26,509.16,0.23
Germany,Europe,2006,Qrt 3,NFL03T,1200.75,703.24,0.29
Germany,Europe,2006,Qrt 4,NFL03T,1050.37,556.33,0.28
Germany,Europe,2006,Qrt 1,W711R,6012.4,2436.06,0.31
Germany,Europe,2006,Qrt 2,W711R,5451.75,2754.96,0.3
Germany,Europe,2006,Qrt 3,W711R,5769.78,2383.18,0.26
Germany,Europe,2006,Qrt 4,W711R,5274.94,3052.16,0.29
Germany,Europe,2006,Qrt 1,W721T,2885.95,1525.23,0.28
Germany,Europe,2006,Qrt 2,W721T,3024.58,1339.45,0.28
Germany,Europe,2006,Qrt 3,W721T,2883.87,1713.81,0.29
Germany,Europe,2006,Qrt 4,W721T,2553.24,1527.42,0.3
Germany,Europe,2006,Qrt 1,S701T,1749.34,1380.37,0.31
Germany,Europe,2006,Qrt 2,S701T,1709.63,1504.69,0.3
Germany,Europe,2006,Qrt 3,S701T,1913.79,1209.09,0.25
Germany,Europe,2006,Qrt 4,S701T,2060.96,1202.34,0.25
Germany,Europe,2006,Qrt 1,U702R,2810.97,1316.58,0.19
Germany,Europe,2006,Qrt 2,U702R,2362.46,1665.82,0.29
Germany,Europe,2006,Qrt 3,U702R,2562.81,1455.02,0.3
Germany,Europe,2006,Qrt 4,U702R,3184.41,1462.26,0.24
Germany,Europe,2006,Qrt 1,J230V,1237.2,718.99,0.33
Germany,Europe,2006,Qrt 2,J230V,1144.94,616.36,0.28
Germany,Europe,2006,Qrt 3,J230V,1304.35,589.9,0.37
Germany,Europe,2006,Qrt 4,J230V,1161.95,727.41,0.26
Germany,Europe,2006,Qrt 1,P532R,359.54,314.43,0.24
Germany,Europe,2006,Qrt 2,P532R,368.7,193.01,0.3
Germany,Europe,2006,Qrt 3,P532R,368.36,243.65,0.28
Germany,Europe,2006,Qrt 4,P532R,438.99,318.06,0.34
Spain,Europe,2006,Qrt 1,L501R,9969.18,5442.57,0.24
Spain,Europe,2006,Qrt 2,L501R,12204.64,6033.16,0.3
Spain,Europe,2006,Qrt 3,L501R,8837.3,5043.64,0.33
Spain,Europe,2006,Qrt 4,L501R,9547.12,4238.67,0.37
Spain,Europe,2006,Qrt 1,J511T,6927.62,2926.03,0.28
Spain,Europe,2006,Qrt 2,J511T,5298.25,2960.74,0.25
Spain,Europe,2006,Qrt 3,J511T,6468.63,2804.69,0.36
Spain,Europe,2006,Qrt 4,J511T,5463.01,2802.27,0.29
Spain,Europe,2006,Qrt 1,F541T,2827.04,1966.47,0.31
Spain,Europe,2006,Qrt 2,F541T,2203.59,1421.96,0.33
Spain,Europe,2006,Qrt 3,F541T,2938.25,1909.47,0.31
Spain,Europe,2006,Qrt 4,F541T,2894.87,1834.03,0.31
Spain,Europe,2006,Qrt 1,505T,1307.95,388.11,0.24
Spain,Europe,2006,Qrt 2,505T,1257.35,428.03,0.21
Spain,Europe,2006,Qrt 3,505T,1022.05,548.6,0.26
Spain,Europe,2006,Qrt 4,505T,1103.67,475.22,0.29
Spain,Europe,2006,Qrt 1,NBA01R,5211.72,2527,0.32
Spain,Europe,2006,Qrt 2,NBA01R,4008.01,2474.95,0.3
Spain,Europe,2006,Qrt 3,NBA01R,5640.64,2272.59,0.28
Spain,Europe,2006,Qrt 4,NBA01R,5792.41,2156.95,0.27
Spain,Europe,2006,Qrt 1,RC03R,4318.43,1597.12,0.28
Spain,Europe,2006,Qrt 2,RC03R,4452.89,2057.34,0.24
Spain,Europe,2006,Qrt 3,RC03R,3803.99,1691.21,0.27
Spain,Europe,2006,Qrt 4,RC03R,4072.86,1682.73,0.23
Spain,Europe,2006,Qrt 1,NFL03T,795.06,550.55,0.31
Spain,Europe,2006,Qrt 2,NFL03T,913.07,571.68,0.29
Spain,Europe,2006,Qrt 3,NFL03T,606.44,510.05,0.25
Spain,Europe,2006,Qrt 4,NFL03T,814.43,523.16,0.34
Spain,Europe,2006,Qrt 1,W711R,5140.11,2889.05,0.3
Spain,Europe,2006,Qrt 2,W711R,5505.4,2729.63,0.3
Spain,Europe,2006,Qrt 3,W711R,4416.31,3207.02,0.34
Spain,Europe,2006,Qrt 4,W711R,4388.42,2849.12,0.25
Spain,Europe,2006,Qrt 1,W721T,1709.83,1146.74,0.25
Spain,Europe,2006,Qrt 2,W721T,1966.86,1388.48,0.27
Spain,Europe,2006,Qrt 3,W721T,2236.19,1299.32,0.27
Spain,Europe,2006,Qrt 4,W721T,1913.28,1556.5,0.25
Spain,Europe,2006,Qrt 1,S701T,1820.21,629.42,0.24
Spain,Europe,2006,Qrt 2,S701T,1752.27,836.52,0.27
Spain,Europe,2006,Qrt 3,S701T,2464.14,783.75,0.24
Spain,Europe,2006,Qrt 4,S701T,1831.51,875.31,0.29
Spain,Europe,2006,Qrt 1,U702R,2688.47,1687.56,0.23
Spain,Europe,2006,Qrt 2,U702R,2571.36,1362.74,0.27
Spain,Europe,2006,Qrt 3,U702R,2421.02,1245.6,0.34
Spain,Europe,2006,Qrt 4,U702R,3145.13,1403.3,0.26
Spain,Europe,2006,Qrt 1,J230V,817.78,296.36,0.22
Spain,Europe,2006,Qrt 2,J230V,909.65,381.05,0.22
Spain,Europe,2006,Qrt 3,J230V,708.39,350.19,0.33
Spain,Europe,2006,Qrt 4,J230V,758.24,368.62,0.29
Spain,Europe,2006,Qrt 1,P532R,400.69,250.26,0.31
Spain,Europe,2006,Qrt 2,P532R,448.09,163.71,0.21
Spain,Europe,2006,Qrt 3,P532R,538.72,217.31,0.23
Spain,Europe,2006,Qrt 4,P532R,422.68,176.73,0.27
Italy,Europe,2006,Qrt 1,L501R,8083.98,3281.47,0.17
Italy,Europe,2006,Qrt 2,L501R,7974.46,3417.6,0.2
Italy,Europe,2006,Qrt 3,L501R,7387.96,4085.66,0.21
Italy,Europe,2006,Qrt 4,L501R,7523.74,3593.5,0.31
Italy,Europe,2006,Qrt 1,J511T,3786.78,1783.77,0.25
Italy,Europe,2006,Qrt 2,J511T,4097.96,2252.7,0.3
Italy,Europe,2006,Qrt 3,J511T,4074.19,2571.14,0.23
Italy,Europe,2006,Qrt 4,J511T,4469.31,1981.05,0.25
Italy,Europe,2006,Qrt 1,F541T,2147.29,1265.05,0.25
Italy,Europe,2006,Qrt 2,F541T,2317.78,1457.82,0.28
Italy,Europe,2006,Qrt 3,F541T,2348.9,1244.81,0.3
Italy,Europe,2006,Qrt 4,F541T,2168.91,1518.19,0.24
Italy,Europe,2006,Qrt 1,505T,659.38,393.12,0.25
Italy,Europe,2006,Qrt 2,505T,529.1,296.87,0.27
Italy,Europe,2006,Qrt 3,505T,640.77,344.06,0.31
Italy,Europe,2006,Qrt 4,505T,591.29,389.86,0.27
Italy,Europe,2006,Qrt 1,NBA01R,2570.37,2024.71,0.25
Italy,Europe,2006,Qrt 2,NBA01R,2878.8,2130.25,0.33
Italy,Europe,2006,Qrt 3,NBA01R,2537.73,1670.47,0.34
Italy,Europe,2006,Qrt 4,NBA01R,3169.35,1903.99,0.29
Italy,Europe,2006,Qrt 1,RC03R,3161.03,1170.49,0.25
Italy,Europe,2006,Qrt 2,RC03R,3062.41,1233.3,0.29
Italy,Europe,2006,Qrt 3,RC03R,2951.53,1525.21,0.37
Italy,Europe,2006,Qrt 4,RC03R,3129.52,1325.1,0.3
Italy,Europe,2006,Qrt 1,NFL03T,883.89,348.71,0.26
Italy,Europe,2006,Qrt 2,NFL03T,654.47,295.39,0.29
Italy,Europe,2006,Qrt 3,NFL03T,617.93,312.32,0.24
Italy,Europe,2006,Qrt 4,NFL03T,658.48,295.4,0.31
Italy,Europe,2006,Qrt 1,W711R,4367.14,2121.19,0.24
Italy,Europe,2006,Qrt 2,W711R,4075.42,2184.24,0.26
Italy,Europe,2006,Qrt 3,W711R,5233.44,2554.32,0.22
Italy,Europe,2006,Qrt 4,W711R,4971.05,2320.54,0.27
Italy,Europe,2006,Qrt 1,W721T,1102.01,839.73,0.25
Italy,Europe,2006,Qrt 2,W721T,1394.91,854.07,0.32
Italy,Europe,2006,Qrt 3,W721T,1566.74,983.99,0.23
Italy,Europe,2006,Qrt 4,W721T,1470.52,840.01,0.35
Italy,Europe,2006,Qrt 1,S701T,1618.24,1022.02,0.34
Italy,Europe,2006,Qrt 2,S701T,1609.56,763.6,0.28
Italy,Europe,2006,Qrt 3,S701T,1593.32,643.27,0.3
Italy,Europe,2006,Qrt 4,S701T,1759.22,871.07,0.18
Italy,Europe,2006,Qrt 1,U702R,2002.95,742.38,0.22
Italy,Europe,2006,Qrt 2,U702R,1766.93,701.68,0.27
Italy,Europe,2006,Qrt 3,U702R,1754.77,814.67,0.29
Italy,Europe,2006,Qrt 4,U702R,2047.13,904.69,0.28
Italy,Europe,2006,Qrt 1,J230V,623.98,338.87,0.23
Italy,Europe,2006,Qrt 2,J230V,716.1,338.37,0.29
Italy,Europe,2006,Qrt 3,J230V,582.64,343.88,0.24
Italy,Europe,2006,Qrt 4,J230V,869.17,354.53,0.24
Italy,Europe,2006,Qrt 1,P532R,206.27,180.21,0.3
Italy,Europe,2006,Qrt 2,P532R,235.12,171.21,0.27
Italy,Europe,2006,Qrt 3,P532R,197.1,169.95,0.29
Italy,Europe,2006,Qrt 4,P532R,210.76,173.22,0.31
China,Asia,2006,Qrt 1,L501R,25438.2,11108.38,0.2
China,Asia,2006,Qrt 2,L501R,20131.49,8656.07,0.19
China,Asia,2006,Qrt 3,L501R,21955.5,10404.95,0.2
China,Asia,2006,Qrt 4,L501R,21468.9,11105.27,0.19
China,Asia,2006,Qrt 1,J511T,15048.77,5478.53,0.18
China,Asia,2006,Qrt 2,J511T,11929.06,5613.51,0.19
China,Asia,2006,Qrt 3,J511T,12212.07,5897.81,0.12
China,Asia,2006,Qrt 4,J511T,12820.73,5044.37,0.17
China,Asia,2006,Qrt 1,F541T,9283.49,3911.87,0.14
China,Asia,2006,Qrt 2,F541T,5522.25,4108.47,0.15
China,Asia,2006,Qrt 3,F541T,6224.99,4238.95,0.17
China,Asia,2006,Qrt 4,F541T,5548.19,4299.85,0.16
China,Asia,2006,Qrt 1,505T,1782.9,1220.43,0.19
China,Asia,2006,Qrt 2,505T,1592.32,948.09,0.2
China,Asia,2006,Qrt 3,505T,1635.47,1260.73,0.21
China,Asia,2006,Qrt 4,505T,1716.54,1292.4,0.19
China,Asia,2006,Qrt 1,NBA01R,6485.07,6286.08,0.14
China,Asia,2006,Qrt 2,NBA01R,7598.58,5004.34,0.19
China,Asia,2006,Qrt 3,NBA01R,5523.59,5390.84,0.26
China,Asia,2006,Qrt 4,NBA01R,6949.06,4105.69,0.19
China,Asia,2006,Qrt 1,RC03R,6687.47,3154.72,0.23
China,Asia,2006,Qrt 2,RC03R,6919.97,2425.42,0.2
China,Asia,2006,Qrt 3,RC03R,6421.23,3073.09,0.21
China,Asia,2006,Qrt 4,RC03R,7558.54,3396.51,0.2
China,Asia,2006,Qrt 1,NFL03T,1820.24,1148.14,0.22
China,Asia,2006,Qrt 2,NFL03T,1690.73,1204.59,0.19
China,Asia,2006,Qrt 3,NFL03T,1828.84,1129.89,0.15
China,Asia,2006,Qrt 4,NFL03T,1670.95,1060.54,0.14
China,Asia,2006,Qrt 1,W711R,10350.07,4898.18,0.19
China,Asia,2006,Qrt 2,W711R,11412.59,6289.81,0.19
China,Asia,2006,Qrt 3,W711R,13573.23,5072.06,0.19
China,Asia,2006,Qrt 4,W711R,12325.31,5547.31,0.19
China,Asia,2006,Qrt 1,W721T,4320.54,1872.65,0.21
China,Asia,2006,Qrt 2,W721T,3379.08,1667.09,0.22
China,Asia,2006,Qrt 3,W721T,3050.32,2104.73,0.19
